h x y Vpinput Vpoutput Vs Ro Q An Bi CPx Ol Amf OPx Alb Ort  Sio2 tiO2 al2O3 fe2O3 feO mnO mgO caO na2O k2O h2O
6 289.03 50.34 6.25 6.448216029857566 3.670544789029935 2.8896045918866013 0.009468050095624219 0.04951577246060357 0.11624385308769243 0.0002593334130236335 0.006079186239599396 0.460763197558137 0.05099635982771139 0.07005325614530654 0.23662099117230181 50.97280794361789 0.8871461214189277 14.459465218091939 2.6501392795393364 8.831946641439778 0.19519887108826595 6.651427419219921 6.165487531150865 2.2827611605088025 30.24194155199099 1.7063874400978158 
4 275.1 50.2 6.19 6.172721955360057 3.5506725022007757 2.8147279940890773 0.005275328243368203 0.15646046606524486 0.17849112614698748 0.04667819730071862 0.14900521531434566 0.036302342549080664 0.004049271525815394 0.007786828218091871 0.41595122463634726 51.1921638311202 0.5745012847266068 17.130571586986978 1.3815237242228124 6.125204179229666 0.1469904604854213 9.384379071933475 4.7651113591966965 1.6078024296292288 52.39335372036411 0.7278084109582533 
6 273.11 50.18 6.27 6.474554230569751 3.8312921515958065 2.9025288853851428 0.22682977076460684 0.0002540599818742534 0.20619117426913408 0.0048732617568260726 0.25579585441326946 0.0065362626773818825 0.05900143184972333 0.017119479647126058 0.22339870464005807 59.14934525615203 0.6131809091826033 8.228761861226754 1.4657266696920335 9.036012030474115 0.20920996187588495 14.371750882422566 0.676256394015624 0.999008188953455 29.04536455557065 0.5932891252259099 
6 271.12 50.16 6.26 6.428497916829659 3.2896985804607066 2.9361615636543172 0.0002142184805759947 4.6644144992040675e-05 0.9522611420300391 0.013224729256955788 0.0008382863400147341 3.3485482761393106e-05 0.03174404953007556 0.0012849537242599549 0.00035249101032544517 36.867628718680855 2.646272981140987 15.39590058968765 4.381301642366296 16.347348152675004 0.2710156684892477 10.518833586248062 1.3246390411195845 0.4272405670650581 7.869288830902341 1.9901399847639105 
4 269.13 50.14 6.17 6.022525108514893 3.5667102744627006 2.9319696412291356 0.01109081874729809 0.00018589402511475558 0.0095895737883911 0.4983701679761603 0.014655606856215626 1.6939941881680012e-05 0.00011539970648494727 0.006474408678392313 0.4595011902800612 57.174124587320215 0.2318581875671205 10.216558568106143 1.2924445463457663 4.999029109136254 0.1807273084651207 6.836499951550237 10.785660307224541 1.779581388235269 56.31868017379913 0.23802909120774407 
6 259.18 50.04 6.21 6.051671479692019 3.439245523992775 2.569524412312731 8.056576259891706e-05 0.043844468266476685 0.0020826156602620077 1.8861463067949824e-05 0.002233094498028765 0.0010061499494969785 0.0002218853015651566 0.7189541164035694 0.2315582426949341 65.5231385999884 0.014354081720256468 20.484932719524558 0.2608642596985835 0.10693891381010931 0.03512085855675405 0.2763109208699441 1.2904557381948105 8.686287747660124 28.65153134514304 0.3734852668804874 
10 227.34 49.72 6.26 6.305285990664125 3.693274891555001 2.853070161586463 0.18421625365364344 0.0015175896103122222 0.03008292171482907 0.007746917046527287 0.034224663888846985 0.4823972535802661 0.002463116235014509 0.00847339613792645 0.24887788813263395 59.92949026189268 0.6663429504073027 10.552293035725846 2.2088671799309187 6.77655209031282 0.16737639688276512 6.523633483603632 5.508000998928414 1.6054775472510665 31.011399738617694 1.5376814768572202 
4 219.38 49.64 6.22 6.3284140554540835 3.802717487848466 3.1783189715373457 0.000969625045133576 0.02037192413041652 0.0008442078785870037 0.03485250057680172 0.0004944032575849628 0.00041556360870337815 0.5771282135815404 0.001928755556286609 0.3629948063649458 54.50792551625442 0.16096421386618273 8.767606379433722 2.057215962849003 17.23607710942526 0.3044650699871043 9.409579620018215 1.8701681395696381 1.254107153826156 44.47758288534775 0.31788107336311294 
4 217.39 49.62 6.23 6.075033409101215 3.567442519741173 2.9625715632697625 0.00018768362389114904 0.00010319014423335586 0.060665312569485645 0.27595841100323126 0.0004034985374875435 0.17780221723032766 0.09609628118729706 0.00033504316968875603 0.38844836253435755 53.93509667958508 0.5173701798339694 11.062816391542 2.0178741364055295 8.425298671027422 0.21063249486512056 7.1954635048274875 8.081963546054087 1.6652619299621891 48.15722558747918 0.8273645658826043 
4 215.4 49.6 6.23 6.4276224340852375 3.3925434402318024 2.810310532545457 0.057795785521271625 3.980373721421395e-07 0.7032879356554836 1.0556336751602878e-06 1.823164452253137e-06 4.489353841521954e-06 5.606389985853108e-05 0.22738559663919353 0.011466852094851597 47.32150052538215 1.9460120389005209 16.067323798316647 3.1931979999393643 11.291767701530954 0.19498435280399323 7.300383761659686 0.8601295284613696 2.84584106886506 7.276018879061583 1.5489850676108967 
4 213.41 49.58 6.24 6.287488807210375 4.120250486703599 2.655038811025042 0.8452835556268498 9.414443986863193e-05 0.03289762802011428 0.0011825058623779992 0.0002721490002236955 0.0005341295155709721 0.0011301571203374298 7.587366227022032e-06 0.11859814304843021 93.47709576038524 0.09365203432836372 2.834549300061624 0.18430378532601568 0.5926477111374461 0.010283184178975963 0.3969586919808631 0.13117591505824644 0.372700248418759 14.775238280329116 0.10995332944215175 
8 203.46 49.48 6.28 6.298685428867302 3.696167030743383 2.8170516719264755 0.22477529213300101 0.006161333019401548 0.209252564111868 0.002889353213695843 0.11625980004799544 0.08278878263347493 0.03523531814163387 0.1270160018937777 0.19562155480515162 61.65937594937718 0.6973051465578558 10.8599324141759 1.5867937389451017 7.150547015719544 0.15845745586785479 8.645932986261496 1.520103928774702 2.233714739642081 25.76283112296914 0.819335867993361 
