h;x;y;Vpinput;Vpoutput;Vs;Ro;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr;Sio2;tiO2;al2O3;fe2O3;feO;mnO;mgO;caO;na2O;k2O;h2O
10;233,31;49,78;6,27;6,295241175;3,463650697;2,59258666;0,0008899;0,007385464;0,003108203;0,040445875;0,007021994;3,77E-05;0,001228457;0,023777972;0,916078572;2,59E-05;63,24557095;0,035773424;18,59029826;0,347226341;0,644911704;0,022646569;0,92140432;1,494052706;3,053543025;112,0759388;0,330725193
12;217,39;49,62;6,29;6,259244938;3,616763242;2,63101458;0,196960948;0,00014;0,001734588;0,066231982;4,45E-05;0,000131304;0,003597793;0,020672703;0,710197256;0,000288915;70,23560327;0,040184539;14,3295874;0,347431754;0,812825036;0,028717384;0,937761668;1,794733496;2,410909636;86,88549295;0,25742447
8;215,4;49,6;6,25;6,341386047;3,406546482;2,989958016;4,34E-05;0,161536481;0,562963203;0,157674322;0,000675107;0,078616955;0,000164072;0,000314947;0,008299015;0,0297125;40,82203695;1,726663818;16,62452461;3,377078109;12,12718664;0,285917598;8,626303268;8,065770362;0,586718154;5,726310565;1,503184058
10;207,44;49,52;6,26;6,057487935;3,698283577;2,807852037;0,513279163;0,007299924;0,343327595;5,12E-05;0,030882377;0,092424848;5,91E-05;0,010642178;1,00E-06;0,002032606;70,30710709;1,062319777;6,988691358;1,950576191;7,103317267;0,135912777;5,780824378;1,521989624;0,410966709;2,888237331;0,991263463
10;205,45;49,5;6,27;6,279225633;3,460959356;2,601810387;0,012970465;0,011009093;0,003251846;0,000588307;0,013116522;0,001324188;0,005922486;0,000923831;0,93405628;0,016836981;63,38224455;0,028580352;18,86511291;0,35379548;0,926706281;0,048555827;0,845433497;0,899553819;2,837959644;114,2668604;0,335558465
10;203,46;49,48;6,28;6,22076997;3,942588583;2,779474077;0,602219989;1,51E-05;0,096912021;0,001329721;0,006673353;0,006420227;0,109679885;0,147614312;0,028833988;0,000301387;81,54711979;0,304284449;5,319822672;0,867416616;4,956677788;0,093498631;3,093189234;0,39494883;1,793030691;4,403796782;0,319507972
12;201,47;49,46;6,28;6,353936279;3,47465078;2,812904969;0,001318285;0,012034701;0,260211149;0,123879369;0,000249607;0,131169558;0,007759507;9,01E-05;0,462105454;0,001182243;52,39412827;0,932844287;15,1921873;2,117484025;7,140562596;0,156059148;5,603112615;4,77498262;1,790015746;58,75176778;1,093350935
8;197,49;49,42;6,26;6,221182643;3,388154878;3,080211649;0,00307069;0,000364851;0,616802888;0,070117843;0,000177654;0,102856807;0,194568863;6,81E-05;0,00843376;0,003538528;41,10701935;1,904417618;11,65905788;3,973909766;17,51263985;0,32076313;11,22166979;3,463109134;0,522475446;6,195228861;1,648016313
8;193,51;49,38;6,25;6,31762436;3,536947439;2,637268589;0,012353644;0,003368334;0,000267917;0,000254975;0,008586794;0,000231435;0,068361651;0,369498044;0,534534064;0,002543142;64,39934709;0,026701961;18,02457542;0,462160481;2,243179075;0,062357029;1,551094208;0,61890915;5,716702953;65,54363085;0,341459298
10;193,51;49,38;6,27;6,405174223;4,233772999;2,73955607;0,847357243;0,0042632;1,16E-06;0,000369549;0,121488679;1,30E-07;4,35E-07;1,89E-05;0,026496032;4,69E-06;91,43023443;0,008381561;0,701545848;0,131953213;1,840439534;0,057360329;5,322012106;0,147510857;0,095511107;3,246321538;0,033111321
12;193,51;49,38;6,29;6,162816656;3,823625717;2,621576006;0,490195073;0,000879387;0,00258471;0,007444864;0,000252162;0,000680043;0,000221355;0,452124414;0,045204702;0,00041329;82,9998404;0,013901609;10,03915856;0,151641407;0,141904816;0,024985197;0,219742338;0,422696524;5,149691133;5,74528429;0,191738409
