h;x;y;pressure;temperature;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr
8;203,46;49,48;0,2076;146;2,70E-05;0,721553615;0,169818867;0,004863368;0,001327431;0,100846758;9,46E-05;0,001014175;0,000330036;0,000124119
10;203,46;49,48;0,2599;200;0,602219989;1,51E-05;0,096912021;0,001329721;0,006673353;0,006420227;0,109679885;0,147614312;0,028833988;0,000301387
12;203,46;49,48;0,3124;245,04;0,241889482;0,011296124;0,0196778;0,014108239;0,334147855;0,262887007;0,007171175;0,014876761;0,057955645;0,035989911
2;201,47;49,46;0,0518;28,65;0,000849888;0,004645942;0,00074934;0,008278143;0,976786524;0,000744886;0,000844939;0,003570769;0,000144953;0,003384616
4;201,47;49,46;0,1036;53,2;0,034311602;0,00524363;0,000547952;0,000393692;0,003826612;0,005615648;0,52471591;0,362198992;0,060429745;0,002716217
6;201,47;49,46;0,1555;93,1;0,000788653;0,000165806;0,000196483;0,241453924;0,000547147;0,714552563;0,035505764;0,005099078;0,000285589;0,001404994
8;201,47;49,46;0,2076;146;2,83E-05;0,016564784;0,191533712;0,000185574;0,410428701;0,00052419;0,247511028;3,10E-05;0,132077036;0,001115709
10;201,47;49,46;0,2599;200;0,000373957;0,086723952;0,00314232;0,007179606;4,02E-05;0,641621773;0,001313047;0,004146841;0,084655574;0,170802706
12;201,47;49,46;0,3124;245,04;0,001318285;0,012034701;0,260211149;0,123879369;0,000249607;0,131169558;0,007759507;9,01E-05;0,462105454;0,001182243
2;199,48;49,44;0,0518;28,65;1,53E-05;0,222248187;0,40464317;7,44E-06;0,272560385;0,099170959;1,16E-06;0,001284968;6,70E-05;1,42E-06
4;199,48;49,44;0,1036;53,2;0,000171079;2,54E-05;0,810908154;0,155979164;9,12E-05;0,015153182;0,001511529;0,000280237;0,000581487;0,015298545
6;199,48;49,44;0,1555;93,1;0,156222263;0,000238117;0,000117767;0,039715073;0,55586404;0,013391987;0,000598332;0,094305902;0,130311069;0,009235452
8;199,48;49,44;0,2076;146;3,04E-05;0,003492146;0,04159612;0,005165563;0,000632714;0,000239557;0,003589569;0,000323524;0,012448907;0,932481517
10;199,48;49,44;0,2599;200;4,63E-05;0,257414981;0,005404523;0,002012458;0,075963951;0,245930254;0,011823944;0,396758493;0,004147531;0,000497604
12;199,48;49,44;0,3124;245,04;0,001859871;0,000747103;0,002074089;0,166013075;0,01559749;0,807160799;0,000364394;0,000109947;9,15E-05;0,005981764
2;197,49;49,42;0,0518;28,65;0,073987292;0,00128068;8,25E-07;0,009154886;0,682740505;0,230997829;0,000113722;7,54E-06;0,001325655;0,000391062
4;197,49;49,42;0,1036;53,2;0,024662789;0,454890748;0,000222312;5,06E-05;0,001190801;0,057354155;0,43465002;1,93E-06;0,000406199;0,026570399
6;197,49;49,42;0,1555;93,1;0,113863275;0,004883527;0,007838255;0,00012922;0,403318023;0,01091232;0,012296252;0,438816545;0,005373676;0,002568907
8;197,49;49,42;0,2076;146;0,00307069;0,000364851;0,616802888;0,070117843;0,000177654;0,102856807;0,194568863;6,81E-05;0,00843376;0,003538528
10;197,49;49,42;0,2599;200;0,000285342;0,000765743;0,007508977;0,836469381;0,000709494;0,000952773;0,000400281;0,000115084;0,02928818;0,123504745
12;197,49;49,42;0,3124;245,04;0,079410695;0,024828235;0,046323831;8,05E-05;0,176185821;0,438934623;0,186938716;0,046529992;0,000530011;0,000237552
2;195,5;49,4;0,0518;28,65;0,254885853;5,40E-05;0,717607508;8,89E-05;0,023462832;4,78E-05;0,000959406;1,24E-05;0,002474603;0,000406736
4;195,5;49,4;0,1036;53,2;0,062946075;0,13023502;0,001633223;0,074626581;0,014734478;0,601953915;0,067159642;0,000229865;0,006026716;0,040454484
6;195,5;49,4;0,1555;93,1;0,001274327;0,001552452;0,032375323;0,004824599;0,409608285;0,001286242;0,015708271;0,006962301;0,008512579;0,517895623
8;195,5;49,4;0,2076;146;0,419705766;1,59E-06;8,42E-05;7,62E-07;0,299170239;4,90E-06;0,280921509;7,94E-05;5,25E-07;3,10E-05
