2 295.0 50.4 6.08 9.648416145562935 5.242719648336977 2.9328575417019302
4 295.0 50.4 6.17 6.801599328553078 3.7250961872871478 2.8673553342652274
6 295.0 50.4 6.24 10.233187346318505 5.429924257289761 2.779810536568234
2 293.01 50.38 6.08 7.588022320684957 4.602854895209508 3.226499001986048
4 293.01 50.38 6.17 6.6854533924451705 3.6532901793245154 3.017966126402204
6 293.01 50.38 6.24 9.309378197895226 5.080692652812455 2.749783564236833
2 291.02 50.36 6.09 7.658427444780481 4.2146539337548266 2.897367607541753
4 291.02 50.36 6.18 7.390939951207746 4.019275955369735 3.0365113682688856
6 291.02 50.36 6.25 6.530723944872089 3.6562669866178474 2.9464063933728757
2 289.03 50.34 6.09 8.521612511734823 4.856011265435237 3.350161159351243
4 289.03 50.34 6.18 7.321318800894572 4.017785979945016 3.13065086387615
6 289.03 50.34 6.25 6.448216029857566 3.670544789029935 2.8896045918866013
2 287.04 50.32 6.09 5.117820140305152 3.0406795983148514 2.658624466952981
4 287.04 50.32 6.18 6.6905471783859545 4.0897628185648145 2.7600046569820913
6 287.04 50.32 6.25 7.41600741926826 4.453031764355583 2.926317589618877
2 285.05 50.3 6.09 7.046633973023973 4.110252414706591 3.027111029496624
4 285.05 50.3 6.19 10.352124736943773 5.489147029977416 2.7825808425100407
6 285.05 50.3 6.26 6.794267430966516 4.461732403098326 2.657428792304295
2 283.06 50.28 6.09 10.118584588975837 5.378734040528163 2.8082481271621464
4 283.06 50.28 6.19 8.553902754662504 4.799525534564278 3.200214047669225
6 283.06 50.28 6.26 5.280647120380441 2.9078080694637127 2.8069094013008145
2 281.07 50.26 6.09 6.8514764863271695 4.421038546366533 2.6960853301917673
4 281.07 50.26 6.19 6.595879339230597 3.36250361084301 2.913467151356004
6 281.07 50.26 6.26 7.744729553477791 4.5627229883828 3.316759322116223
2 279.08 50.24 6.09 6.807029081668348 4.2821074412326 2.7918093781580082
4 279.08 50.24 6.19 8.010295931761275 4.6309608009897865 3.4151725894513136
6 279.08 50.24 6.26 6.676968260372552 3.8774408267170704 3.0367556119804178
2 277.09 50.22 6.09 7.574681819803746 4.1712529245495364 3.022993413628611
4 277.09 50.22 6.19 8.818601443001064 4.87856350697821 2.935062664558996
6 277.09 50.22 6.26 9.768614497846903 5.306444804875563 2.788549604714568
2 275.1 50.2 6.09 5.215809945965497 3.0422597460565046 2.599750089229102
4 275.1 50.2 6.19 6.172721955360057 3.5506725022007757 2.8147279940890773
6 275.1 50.2 6.26 8.207769689481271 4.723681487864645 3.3637424182402897
2 273.11 50.18 6.09 8.043553865242169 4.7468407352475355 2.8094283053797127
4 273.11 50.18 6.19 4.224650654729261 2.4989636799851285 2.560148489759107
6 273.11 50.18 6.27 6.474554230569751 3.8312921515958065 2.9025288853851428
2 271.12 50.16 6.08 7.083605360517677 3.894598532191478 2.6168113055604416
4 271.12 50.16 6.18 9.788312882268132 5.297145556465389 2.8054942485846452
6 271.12 50.16 6.26 6.428497916829659 3.2896985804607066 2.9361615636543172
2 269.13 50.14 6.08 6.538176842234597 3.8291435399732854 3.03567739537694
4 269.13 50.14 6.17 6.022525108514893 3.5667102744627006 2.9319696412291356
6 269.13 50.14 6.24 7.399953808633267 4.209099015058672 2.931956673476774
2 267.14 50.12 6.08 7.179359077980924 4.00204321180555 2.907932912288291
4 267.14 50.12 6.16 6.77500372574 4.4903084476195785 2.655525581997222
6 267.14 50.12 6.24 7.720705622480372 4.55066159195849 3.344904980856258
2 265.15 50.1 6.07 6.863097950797148 4.510026070694292 2.673001312013588
4 265.15 50.1 6.15 9.36551702594759 5.045446406513022 2.769471210710547
6 265.15 50.1 6.24 7.152297019244001 4.037321504540923 3.1807094586210827
2 263.16 50.08 6.07 9.387692431869464 5.050807387304754 2.845730070316209
4 263.16 50.08 6.14 8.883322179355963 4.776532217232423 2.8543017437783575
6 263.16 50.08 6.23 8.659852626363115 4.887923889431757 3.2545478926859683
2 261.17 50.06 6.07 7.61475207884923 4.304978069522272 2.814463041801317
4 261.17 50.06 6.14 9.509230026977816 5.2023082976186155 3.0271396355882625
6 261.17 50.06 6.22 7.037637829025452 4.333705093102804 2.8082436376033244
2 259.18 50.04 6.06 6.9112013000565495 3.7668881929695157 2.6035861502511644
4 259.18 50.04 6.13 7.681863157335365 4.279553935731888 3.1366724808167596
6 259.18 50.04 6.21 6.051671479692019 3.439245523992775 2.569524412312731
2 257.19 50.02 6.06 4.20817989325451 2.489617967425849 2.5538284741247312
4 257.19 50.02 6.13 4.343985625528338 2.5790394970676793 2.583027895239566
6 257.19 50.02 6.2 4.622515020252515 2.7321114743591854 2.6374728550486712
2 255.2 50.0 6.05 8.074746095886507 4.610536744851162 3.139804506146478
4 255.2 50.0 6.12 6.941006723851297 4.361335266058104 2.666349379458142
6 255.2 50.0 6.19 6.8983780295049 3.847740342531073 2.6443796145203486
8 255.2 50.0 6.26 7.459159002052957 4.5312816105734735 2.7254868134935197
2 253.21 49.98 6.04 8.466980056439777 4.7888019863499816 3.2434796297690194
4 253.21 49.98 6.1 6.7903783913641895 3.9096376994540543 2.7487339872289205
