h x y Vpinput Vpoutput Vs Ro Q An Bi CPx Ol Amf OPx Alb Ort Gr Sio2 tiO2 al2O3 fe2O3 feO mnO mgO caO na2O k2O h2O
7 108.47 135.13 6.72 6.613767363268236 3.5259761419359914 2.6955664943017923 8.922594108443736e-05 0.56228022641399 0.0001040675486877363 0.0002430395045320542 0.0004266721761743216 0.037729270206078955 3.8347181899945136e-05 0.01343917953739287 0.3856495702945393 4.011956203981382e-07 52.28339017903632 0.06364291460536851 28.03510182617975 0.4917621100526385 0.49913078010859546 0.013025163548215745 0.47496089799695607 11.110542335665247 1.7019580054130925 47.26381377741583 0.5212627932779618 
1 108.83 133.17 6.15 6.223414654471927 3.389321004059676 2.9053471218388096 0.004438409092404676 0.24927649256811002 0.11196896182468902 0.023992873075122868 0.005009184863854397 0.26203423492479294 0.0584264367458183 0.1367001035404137 0.11618674616483148 0.031966557199962574 49.630671309204395 0.6636456686130899 19.071625470516604 2.1057776234347365 7.625822855113341 0.21716980755036236 5.21972564732597 8.5533739126025 2.4926796720691797 15.40489171535709 1.2248466524497048 
6 108.83 133.17 6.64 6.603279711061426 3.7934390370375097 3.2508112149180306 0.0019258133374352275 0.0036672942701161944 0.03819998823475242 0.00018298959422560494 0.9419733564616074 0.00013598466512206958 0.0004899003301098349 0.00013946898253444125 0.009599416558442342 0.0036857875656544593 39.65936377698468 0.1680603780968099 1.2896846788280483 1.1442938037374415 14.943093523956534 0.4610554616309119 41.63022972513046 0.5124813772857363 0.14869088452851303 1.5300794580652064 0.25724146654772956 
6 109.2 131.2 6.64 6.841994109433043 3.959474072221743 3.232315580723628 0.08363301536118603 0.022012848248048805 0.13015999445535467 0.5695000005790151 0.003246138295272848 0.01901971119558693 0.09241112070692299 0.017155925737918874 0.00040312385404364236 0.06245812156665018 51.973298822632174 0.6526162976072846 5.9173884720726235 2.510358400082643 11.77933327852872 0.4113830227542946 10.240427964821917 13.465863442082169 0.6811378313888954 1.205195124504077 0.45378502695528256 
1 109.57 129.23 6.15 5.937444000901384 3.2419779320665016 2.711556835847002 0.06892581523647379 0.30492782337917806 0.03541272013323162 0.038978694401873154 0.0011383372325279044 0.015584707104384612 0.00032246042881573314 0.5109088316310388 0.0005953594070147121 0.02320525104546153 59.813866235992705 0.14947853867776534 22.29834261103837 0.6566076271836205 1.6948947746342344 0.09873653716807287 1.2438142105314578 7.177250743506933 5.908118168217948 0.6361044358255361 0.4697608292307083 
2 110.67 123.33 6.3 6.425901710273268 3.6803166045399816 3.0867425989159956 0.024898013853035316 0.0024245660898048454 0.03972101576245375 0.35916704176746667 0.23155909961023402 0.0235515613597867 0.004266813121336423 0.10157070372859879 0.1656717110057639 0.04716947370151965 51.899706741203076 0.31424502513746266 7.914869709040659 1.5858300109355292 8.970395179447623 0.35309097166600323 15.389156327776119 8.595248882828631 1.9413894116704986 20.692228591381124 0.3411240721631491 
3 111.03 121.37 6.39 6.3082872871658715 3.7905891223073285 3.5649544642677675 0.003165216751329032 0.00030901640757316755 0.012416440713716588 0.0027040031058131347 0.062107240741343654 0.004756948249939279 0.8850042683538479 9.867103621213055e-05 6.0339934932686146e-05 0.029377854705292392 48.072012794100615 0.26830340815092996 2.2148791651483726 3.139485911626456 27.76687686286404 0.5414229685844665 16.707267786236432 1.2824826865459973 0.1881126388102035 0.22684835198401287 0.33217220497771377 
2 111.77 117.43 6.31 6.280531013278784 3.620690048409032 2.91445204212469 0.10325508368675947 0.004217937231338327 0.011243581510855768 0.00018271478409147903 0.35321662642358065 3.5680994433484794e-05 0.0047627170669145595 0.1813767212958218 0.28488762320471306 0.056821313801491406 57.75118116732864 0.07653874676175451 10.654045739416393 0.7684044263286931 7.032284105434311 0.2982416261962215 15.893254743416085 1.0085808207123774 2.921955681272188 35.035039832596546 0.2662866382974752 
1 113.6 107.6 6.25 6.279184934674942 3.5994796545574803 3.208253581526029 0.00013380449485209773 9.246838537810854e-05 0.0015331841665670869 0.0004518168984535771 0.7256054846550042 0.2638779023624472 0.005191468173726878 0.0006410292782194563 0.002445701762024569 2.7139823326860995e-05 41.15685962731981 0.3667710869705589 3.05518563063367 1.8268513340034607 14.207632434103092 0.4201708333257922 34.34347143988424 3.1031957089742215 0.49744709458636516 0.5197858635881267 0.8931522467532574 
8 114.33 103.67 6.27 6.365810407262718 3.730885969211082 3.371097485404195 7.782332422386832e-06 0.006325469065337885 0.042446366054365026 0.4705624335469679 0.10372141167007391 0.028823438943366232 0.31796492542474414 0.00027440037074640087 0.0012089894196284142 0.028664783172347677 47.8100112169459 0.43249669653653877 3.275383268455398 2.622711606689582 16.877233378141835 0.4477132053495894 15.986347654825531 11.022486991111942 0.44746777451760605 0.6007894537251629 0.35462892724669226 
