h;x;y;Velosity_etalon;efVp;ef_Vs;ro
4;239,28;49,84;6,04;7,62320735;4,311703605;3,128137167
6;239,28;49,84;6,08;6,959888415;3,929869878;2,995194104
8;239,28;49,84;6,13;5,92605258;3,278503059;2,90528173
10;239,28;49,84;6,17;6,933354347;4,040504667;3,084275715
12;239,28;49,84;6,22;6,877220789;3,982401318;2,935258618
2;237,29;49,82;6,01;7,701362419;4,405531652;3,142413232
4;237,29;49,82;6,1;5,773175867;3,055718694;2,811547613
6;237,29;49,82;6,11;7,24085214;4,425038901;3,087535574
8;237,29;49,82;6,13;6,577050642;3,620218965;3,045235557
10;237,29;49,82;6,17;7,774092363;4,451066538;3,14653038
12;237,29;49,82;6,21;7,118000071;4,068209788;3,112672287
2;235,3;49,8;6,07;6,589640844;3,679907574;2,835945359
4;235,3;49,8;6,18;7,244494245;4,278955086;3,10148076
6;235,3;49,8;6,24;7,431539815;4,279747327;3,498318067
8;235,3;49,8;6,24;6,455351171;4,008345507;2,786917121
10;235,3;49,8;6,27;7,040189875;3,948439369;3,08851161
12;235,3;49,8;6,29;6,359317405;3,531405979;2,682099938
2;233,31;49,78;6,07;7,235216698;4,067407087;3,04526401
4;233,31;49,78;6,18;6,796486778;4,396497061;2,856407288
6;233,31;49,78;6,24;6,04604907;3,212824021;2,844527767
8;233,31;49,78;6,26;7,237862616;4,060386128;3,056864085
10;233,31;49,78;6,27;6,295241175;3,463650697;2,59258666
12;233,31;49,78;6,29;6,975376389;3,987350934;3,028732349
2;231,32;49,76;6,07;6,396706013;3,663362335;2,801552801
4;231,32;49,76;6,19;6,918537884;4,19549639;2,966903734
6;231,32;49,76;6,25;7,23855203;4,371852207;3,084779331
8;231,32;49,76;6,27;6,685706625;4,209316627;2,836271181
10;231,32;49,76;6,27;6,598975348;3,587719779;3,024128562
12;231,32;49,76;6,29;7,282385281;4,302200239;3,473648036
2;229,33;49,74;6,08;6,587796948;4,340563059;2,905125193
4;229,33;49,74;6,2;6,511722057;3,605975005;2,688913166
6;229,33;49,74;6,24;7,571607064;4,458587487;3,512271941
8;229,33;49,74;6,26;7,651103033;4,344405316;3,158821101
10;229,33;49,74;6,26;8,308873686;4,73177659;3,842849855
12;229,33;49,74;6,29;7,214998022;4,043558581;3,069486704
2;227,34;49,72;6,08;7,376278516;4,265653845;3,245698081
4;227,34;49,72;6,2;6,43698297;3,425600425;2,871229305
6;227,34;49,72;6,24;8,311662793;4,689165407;3,949796103
8;227,34;49,72;6,26;7,829534276;4,456999316;3,202365749
10;227,34;49,72;6,26;7,530910648;4,372695793;3,289570869
12;227,34;49,72;6,29;6,93787247;3,870905695;2,877037097
2;225,35;49,7;6,08;6,366889515;3,561658035;2,59923428
4;225,35;49,7;6,2;6,655675423;3,604973112;3,004434188
6;225,35;49,7;6,24;6,927510542;3,879619031;2,970123824
8;225,35;49,7;6,24;6,691983982;4,035764491;2,840693755
