h;x;y;Velosity_etalon;efVp;ef_Vs;ro
14;143,76;48,88;6,29;6,171939141;4,1477013;2,679330743
16;143,76;48,88;6,34;6,068084011;3,988404632;2,711259706
2;141,77;48,86;5,97;6,524436345;3,612430657;3,118334355
4;141,77;48,86;6,04;6,790987724;3,772499134;3,120366117
6;141,77;48,86;6,1;7,739700359;4,387693852;3,241752137
8;141,77;48,86;6,17;7,312009293;4,119626407;3,290749615
10;141,77;48,86;6,23;7,327781789;4,356741749;3,499555807
12;141,77;48,86;6,26;7,260862175;4,362442944;3,368176202
2;139,78;48,84;5,97;6,228110157;3,451392196;2,756088054
4;139,78;48,84;6,03;6,291621033;3,606896196;2,616621736
6;139,78;48,84;6,1;7,615916523;4,361888997;3,543810166
8;139,78;48,84;6,18;6,911449625;3,890456409;3,165441519
10;139,78;48,84;6,24;7,212929611;4,035203878;3,076450228
12;139,78;48,84;6,28;6,939865048;3,845771161;2,901363754
2;137,79;48,82;5,97;7,569502047;4,498281819;3,600352203
4;137,79;48,82;6,04;6,987294388;3,951174235;2,975443096
6;137,79;48,82;6,11;7,204291492;4,293802565;3,119734736
8;137,79;48,82;6,19;7,709690476;4,446869392;3,617763532
10;137,79;48,82;6,26;6,379450956;3,870875776;2,71544291
12;137,79;48,82;6,29;7,232815438;4,205000319;3,334770534
2;135,8;48,8;5,98;7,847821116;4,572221083;3,679974805
4;135,8;48,8;6,05;6,159025987;3,528785187;2,829004694
6;135,8;48,8;6,11;7,366181174;4,172634768;3,259737063
8;135,8;48,8;6,2;7,768456804;4,390095684;3,533176346
10;135,8;48,8;6,25;7,279984724;4,262588851;3,45096118
12;135,8;48,8;6,29;7,145288441;3,975072068;2,900892286
2;133,81;48,78;5,98;6,799615178;3,8966573;3,262306397
4;133,81;48,78;6,06;7,326014959;4,335824088;3,029044963
6;133,81;48,78;6,12;7,423867169;4,252694056;3,312728133
8;133,81;48,78;6,2;7,566622496;4,433697793;3,584279179
10;133,81;48,78;6,25;7,365410548;4,166412784;2,971751102
12;133,81;48,78;6,29;7,160579905;4,035742591;3,120297673
2;131,82;48,76;5,99;7,231333738;4,06216685;3,037623052
4;131,82;48,76;6,06;6,467063183;4,165288741;2,812802226
6;131,82;48,76;6,13;6,567860616;3,871275005;2,79950775
8;131,82;48,76;6,21;7,502748419;4,378030891;3,54870324
10;131,82;48,76;6,25;6,241263691;3,426245182;2,565211757
12;131,82;48,76;6,27;6,971909022;4,043173197;2,998354784
2;129,83;48,74;5,99;6,258428357;4,035762397;2,667294969
4;129,83;48,74;6,07;6,676759799;4,222841892;2,966254855
6;129,83;48,74;6,14;7,568833082;4,289712481;3,519852692
8;129,83;48,74;6,22;7,263141324;4,070670672;3,095686759
10;129,83;48,74;6,26;7,106248823;3,98392809;2,964091707
12;129,83;48,74;6,29;7,243558494;4,390941337;3,144642543
2;127,84;48,72;5,99;6,891308456;3,828281146;3,013433079
4;127,84;48,72;6,07;6,837030248;3,930989098;3,044094451
6;127,84;48,72;6,15;7,033058783;3,945859417;3,100204511
8;127,84;48,72;6,23;7,262795227;4,323739961;3,020674036
10;127,84;48,72;6,25;7,63293435;4,511788171;3,091784979
12;127,84;48,72;6,28;8,255417966;4,704694395;3,24577611
2;125,85;48,7;5,99;6,646336032;3,737824204;2,927643415
4;125,85;48,7;6,08;7,375255726;4,160424338;3,242931849
6;125,85;48,7;6,16;7,358335476;4,238119801;3,092032556
8;125,85;48,7;6,24;6,169862311;3,700400757;2,596580302
10;125,85;48,7;6,26;6,652310248;4,272099257;3,060117844
12;125,85;48,7;6,28;7,983575748;4,571341484;3,481335495
2;123,86;48,68;6;7,777766479;4,523815269;3,274105857
4;123,86;48,68;6,09;7,947800207;4,499730141;3,488601867
6;123,86;48,68;6,18;7,036085513;4,000748686;2,968855629
8;123,86;48,68;6,25;8,108524963;4,599193817;3,550039184
10;123,86;48,68;6,27;7,510748612;4,414858536;3,514731757
12;123,86;48,68;6,29;6,999482048;4,353457008;3,239361242
2;121,87;48,66;6;6,262683569;3,457993195;2,550844087
4;121,87;48,66;6,09;7,223915775;4,010431193;3,019259578
6;121,87;48,66;6,19;6,970092442;3,925738528;2,932736419
8;121,87;48,66;6,25;6,484816234;4,271915541;2,776195626
10;121,87;48,66;6,27;6,254967209;4,16365145;2,718919883
12;121,87;48,66;6,29;6,397680872;3,625780196;2,667206022
2;119,88;48,64;6;6,399742497;3,569549158;3,248879715
4;119,88;48,64;6,1;6,077867908;3,351624567;2,669153035
6;119,88;48,64;6,19;6,412587393;3,532006087;2,639075807
8;119,88;48,64;6,26;6,24629246;3,940405943;2,676125042
10;119,88;48,64;6,27;7,644416774;4,446285391;3,369496435
12;119,88;48,64;6,28;7,180679918;3,893050073;2,814330765
2;117,89;48,62;6;7,197498384;3,904393375;2,857476629
4;117,89;48,62;6,1;7,715611637;4,452014823;3,25215464
6;117,89;48,62;6,2;6,677881048;3,720052308;2,957418851
8;117,89;48,62;6,24;7,752873349;4,396073412;3,143543482
10;117,89;48,62;6,27;8,19852841;4,658711599;3,823065992
12;117,89;48,62;6,28;7,857500927;4,519527881;3,291716937
2;115,9;48,6;6,01;7,245546662;4,098280158;2,918292688
4;115,9;48,6;6,1;6,579099669;4,345910224;2,781371572
6;115,9;48,6;6,22;6,402945128;3,514829591;2,894060482
8;115,9;48,6;6,24;6,254084375;3,533114299;2,562492768
10;115,9;48,6;6,26;8,277962274;4,690967289;3,719392471
12;115,9;48,6;6,28;7,96322583;4,533059147;3,623336177
2;113,91;48,58;6,01;6,417301548;3,629156114;2,838123449
4;113,91;48,58;6,12;6,914769004;3,845199371;3,031949041
6;113,91;48,58;6,23;6,211062298;3,905748252;2,624228622
8;113,91;48,58;6,24;7,450096949;4,445817976;3,574969017
10;113,91;48,58;6,26;6,577182666;4,012938773;2,834082941
12;113,91;48,58;6,29;6,707308698;3,65831231;2,955555569
2;111,92;48,56;6,01;8,241704358;4,74652096;3,617986644
4;111,92;48,56;6,12;6,368267728;3,931277576;2,703139199
6;111,92;48,56;6,24;6,020889183;3,273374941;3,024899364
8;111,92;48,56;6,24;7,147948624;3,842389598;2,770460396
10;111,92;48,56;6,27;8,328673971;4,705687411;3,965049897
12;111,92;48,56;6,28;6,756131201;3,832372639;3,036515468
2;109,93;48,54;6,02;6,271723845;3,884761806;2,737540755
4;109,93;48,54;6,14;7,040900349;3,996361127;3,040643295
6;109,93;48,54;6,25;5,961516053;3,159794314;3,085483073
8;109,93;48,54;6,25;7,372780657;4,102121788;3,323383897
10;109,93;48,54;6,26;8,008088202;4,594326395;3,278604309
12;109,93;48,54;6,28;6,866183708;4,032395116;2,839891427
2;107,94;48,52;6,03;7,253176975;4,080557317;3,04742713
4;107,94;48,52;6,15;6,616552664;3,692421528;2,980915226
6;107,94;48,52;6,26;6,445373144;4,205869036;2,736429619
8;107,94;48,52;6,27;7,461276751;4,352057697;3,337859713
10;107,94;48,52;6,28;7,506112112;4,279076248;3,193887331
12;107,94;48,52;6,28;7,517839624;4,453066479;3,168475557
2;105,95;48,5;6,04;7,718290905;4,361028767;3,50197634
4;105,95;48,5;6,17;7,906450855;4,495554269;3,196117993
6;105,95;48,5;6,24;7,283549138;3,954810604;2,958476686
8;105,95;48,5;6,26;6,013985213;3,225237123;2,772927465
10;105,95;48,5;6,28;7,192648741;4,019579314;3,036186624
12;105,95;48,5;6,29;7,342730309;4,188264582;3,21540178
2;103,96;48,48;6,05;7,536731283;4,335746507;3,168610747
4;103,96;48,48;6,19;6,041928289;3,298226163;2,760708016
6;103,96;48,48;6,24;7,455360846;4,437608911;3,565156037
8;103,96;48,48;6,25;7,748675098;4,580573108;3,555792137
10;103,96;48,48;6,26;7,109007746;3,879279043;2,853258066
12;103,96;48,48;6,28;7,09176448;3,996911698;2,87890077
2;101,97;48,46;6,07;6,536482096;3,659745751;2,808944438
4;101,97;48,46;6,2;6,592859745;3,727180546;2,719180689
2;99,98;48,44;6,07;6,860854729;3,797734417;2,99523255
4;99,98;48,44;6,19;5,956185025;3,169480124;2,838349492
6;99,98;48,44;6,21;7,187100964;4,04839032;3,03322106
8;99,98;48,44;6,24;6,886388923;3,837427428;2,840489013
10;99,98;48,44;6,25;7,861697976;4,586135383;3,343938128
12;99,98;48,44;6,26;7,169773861;3,978012014;2,986639372
14;99,98;48,44;6,28;6,273321874;3,449691314;2,590570742
16;99,98;48,44;6,29;7,233615434;4,300184328;3,424063432
2;97,99;48,42;6,07;6,387832391;3,5770956;2,601371176
4;97,99;48,42;6,19;7,189356087;3,858947596;2,791291862
6;97,99;48,42;6,21;7,227585154;4,144926562;3,072462117
8;97,99;48,42;6,24;6,817901997;3,862404738;2,754172934
10;97,99;48,42;6,25;8,275289447;4,708558863;3,744126512
12;97,99;48,42;6,26;6,903414086;3,771924387;2,804801624
14;97,99;48,42;6,27;6,566838582;3,628544343;2,761549409
16;97,99;48,42;6,28;7,79403513;4,475790605;3,325271239
2;96;48,4;6,06;7,92982788;4,464715133;3,203483031
4;96;48,4;6,18;8,178572323;4,615131349;3,913580472
6;96;48,4;6,2;6,523546152;4,180636985;2,909156862
8;96;48,4;6,23;8,329429374;4,766250564;3,284491688
10;96;48,4;6,24;7,109281679;4,01496913;2,926727337
12;96;48,4;6,25;5,831329127;3,105564446;3,01458809
14;96;48,4;6,27;7,675356728;4,490540991;3,125755003
16;96;48,4;6,29;6,208519751;4,143073697;2,713950651
2;94,01;48,38;6,05;7,485459223;4,242910023;3,399719384
4;94,01;48,38;6,17;6,518804558;4,090222273;2,774582891
6;94,01;48,38;6,2;7,220153851;4,050282824;3,044463529
8;94,01;48,38;6,22;6,16864357;3,571127952;2,902946745
10;94,01;48,38;6,24;6,377620863;3,520845049;3,015448088
12;94,01;48,38;6,26;7,005491116;3,874768809;2,878732756
14;94,01;48,38;6,28;8,341516237;4,707476164;3,950737187
16;94,01;48,38;6,28;7,949035163;4,478070611;3,13487263
2;92,02;48,36;6,05;5,998613368;3,247128565;2,809483325
4;92,02;48,36;6,16;6,952106136;3,84269329;2,892424854
6;92,02;48,36;6,26;7,148694915;3,892340644;2,840151327
2;90,03;48,34;6,05;7,464403821;4,44981221;3,164995442
4;90,03;48,34;6,16;6,511627167;3,953129417;2,752964347
6;90,03;48,34;6,2;5,70611871;2,978920255;2,882688783
8;90,03;48,34;6,21;7,649726584;4,288230236;3,131043579
10;90,03;48,34;6,24;6,279739213;4,214510499;2,715862123
12;90,03;48,34;6,26;7,536525708;4,338817907;3,276457616
14;90,03;48,34;6,27;7,316895445;4,333996495;3,491994819
16;90,03;48,34;6,28;6,409428525;3,765325188;2,851496984
2;88,04;48,32;6,05;6,9911368;3,978399731;3,248424364
4;88,04;48,32;6,15;7,397885497;4,531104285;3,149104747
6;88,04;48,32;6,2;6,587728483;3,533065523;2,932712208
8;88,04;48,32;6,23;7,438063333;4,162770265;3,020774488
10;88,04;48,32;6,24;7,295428147;4,180337017;3,048919341
12;88,04;48,32;6,25;6,367729176;3,498330059;2,828782873
14;88,04;48,32;6,28;6,514073106;3,674181606;2,852950563
16;88,04;48,32;6,29;7,095991489;3,870224977;2,835553463
2;86,05;48,3;6,04;7,199613126;4,074274993;3,153562853
4;86,05;48,3;6,15;6,585211264;3,64699295;3,149224754
6;86,05;48,3;6,24;7,129201391;4,090569642;3,210184671
2;84,06;48,28;6,04;6,858235246;3,892825314;3,362199788
4;84,06;48,28;6,14;6,363463043;4,214402074;2,711498282
6;84,06;48,28;6,23;7,009345791;3,972108125;3,155565758
2;82,07;48,26;6,04;7,479451735;4,39047049;3,43920034
4;82,07;48,26;6,13;7,105059328;4,083288478;3,10433055
6;82,07;48,26;6,23;7,191349788;4,171387777;3,217174375
2;80,08;48,24;6,03;7,0967932;4,214390272;3,1956765
4;80,08;48,24;6,13;6,015289478;3,194867994;2,919488638
6;80,08;48,24;6,22;7,696186993;4,357315585;3,155480644
2;78,09;48,22;6,03;7,096914416;4,143704386;3,091871844
4;78,09;48,22;6,13;7,219699823;3,908722375;2,82852935
6;78,09;48,22;6,22;6,293475427;3,539716984;2,624494403
2;76,1;48,2;6,03;7,219476682;4,083649917;3,054376573
4;76,1;48,2;6,13;7,658456039;4,379341895;3,07365729
6;76,1;48,2;6,22;7,460906116;4,218169166;3,404387272
2;74,11;48,18;6,03;6,8796014;3,936256592;3,039861931
4;74,11;48,18;6,12;7,460574282;4,420965615;3,536581041
6;74,11;48,18;6,2;5,947299601;3,179054769;2,716597375
2;72,12;48,16;6,03;6,805773772;3,894594883;2,974857676
4;72,12;48,16;6,12;5,811455791;3,09377845;2,832422293
6;72,12;48,16;6,2;7,382756153;4,202569798;3,137144077
2;70,13;48,14;6,03;6,131441338;3,28632637;3,120329495
4;70,13;48,14;6,11;7,258576643;4,223752828;3,404390541
6;70,13;48,14;6,2;7,304350657;4,216368396;3,349188361
2;68,14;48,12;6,03;5,599737989;2,893479243;2,906812235
4;68,14;48,12;6,11;5,955480979;3,186648144;2,98107845
6;68,14;48,12;6,19;7,5180075;4,305023364;3,109744857
8;68,14;48,12;6,27;7,239386523;4,277902319;3,055912918
2;66,15;48,1;6,03;6,267580608;3,443395849;2,605708692
4;66,15;48,1;6,11;7,220811718;4,072963994;3,185586493
6;66,15;48,1;6,19;7,39249608;4,348289776;3,410563203
8;66,15;48,1;6,27;7,670716765;4,400585445;3,191380826
2;64,16;48,08;6,03;8,158644582;4,610304233;3,790810408
4;64,16;48,08;6,1;8,072483573;4,583611783;3,717565984
6;64,16;48,08;6,18;7,80505931;4,507382779;3,264578677
8;64,16;48,08;6,26;7,199540981;4,424453223;3,349225508
2;62,17;48,06;6,02;7,472657375;4,435091745;3,193600966
4;62,17;48,06;6,1;8,367317601;4,743107805;3,971845614
6;62,17;48,06;6,18;6,342531195;3,516170473;2,611424178
8;62,17;48,06;6,25;6,494702111;4,158384148;2,78374647
2;60,18;48,04;6,02;6,413520311;3,90504759;2,785091028
4;60,18;48,04;6,1;7,591825749;4,356183158;3,191588095
6;60,18;48,04;6,18;7,190285519;3,936019362;2,872063706
8;60,18;48,04;6,24;7,200547876;4,130303228;3,281526483
2;58,19;48,02;6,02;6,917836346;4,109697104;2,838391103
4;58,19;48,02;6,1;6,278635099;3,54725133;2,556720438
6;58,19;48,02;6,17;5,774706696;3,23909367;2,85560406
8;58,19;48,02;6,23;7,333539637;4,271256667;3,358879779
2;56,2;48;6,02;6,739806696;3,781923787;3,081504649
4;56,2;48;6,09;7,466853796;4,466844927;3,497807991
6;56,2;48;6,17;7,483486985;4,262662325;3,208656292
8;56,2;48;6,23;6,268281125;3,538280125;2,571467961
2;54,21;47,98;6,02;7,20712886;4,000131085;2,962879045
4;54,21;47,98;6,09;7,838853467;4,513295481;3,263738293
6;54,21;47,98;6,17;6,407231869;3,614607795;2,660208025
8;54,21;47,98;6,23;7,16386176;3,955861167;2,998825936
2;52,22;47,96;6,02;6,575261774;4,238874635;2,818991753
4;52,22;47,96;6,09;7,938899584;4,568654132;3,282054559
6;52,22;47,96;6,16;7,23617198;4,000335487;2,955424292
8;52,22;47,96;6,22;6,974346154;4,298315741;3,011130045
2;50,23;47,94;6,02;7,179855922;3,876024707;2,806569719
4;50,23;47,94;6,08;7,700781158;4,433602982;3,252200653
6;50,23;47,94;6,16;6,123235954;3,332388882;2,929535506
8;50,23;47,94;6,22;6,323013804;4,019542658;2,687081121
2;48,24;47,92;6,02;6,694025253;3,723623569;3,159862473
4;48,24;47,92;6,08;8,160894216;4,711647167;3,822915195
6;48,24;47,92;6,15;7,571667094;4,348764561;3,524505147
8;48,24;47,92;6,21;7,413079209;4,403741754;3,521201134
2;46,25;47,9;6,02;6,736146451;3,898754918;2,786272319
4;46,25;47,9;6,08;7,217416987;4,067354584;2,979100345
6;46,25;47,9;6,15;7,633632259;4,518624971;3,51163906
8;46,25;47,9;6,21;7,187721609;4,226787189;3,480738349
2;44,26;47,88;6,02;7,55034987;4,310135871;3,242649664
4;44,26;47,88;6,08;6,939081791;3,973808692;2,94739786
6;44,26;47,88;6,15;6,486326906;4,06573859;2,91532409
8;44,26;47,88;6,21;7,408911355;4,48600322;3,400765146
2;42,27;47,86;6,03;6,821095623;3,898838031;2,923048891
4;42,27;47,86;6,1;7,220056824;3,991365047;3,008544923
6;42,27;47,86;6,17;6,953496815;3,771612905;2,875704771
8;42,27;47,86;6,24;6,879512093;4,004404202;2,968438865
