h;x;y;Vp;Vpcalc;Vscalc;Ro
3;112,13;115,47;6,42;6,016831438;3,53088758;3,293887972
5;112,13;115,47;6,56;7,880413317;5,154116292;2,87368173
6;112,13;115,47;6,62;3,269849087;1,586901297;2,978136046
1;112,5;113,5;6,2;2,365201007;1,30822515;2,608026745
2;112,5;113,5;6,32;2,443520256;1,348305559;2,569820346
4;112,5;113,5;6,49;2,514731911;1,456360016;2,599811046
5;112,5;113,5;6,55;3,52387378;2,147991828;2,8969069
6;112,5;113,5;6,62;5,330072536;3,042411481;2,917211349
1;112,87;111,53;6,2;4,324265487;2,407680567;3,04372625
3;112,87;111,53;6,42;2,593954398;1,374043536;2,696480394
4;112,87;111,53;6,49;6,162490839;3,613815059;3,087307728
1;113,23;109,57;6,23;3,099584277;1,888480847;2,588339471
2;113,23;109,57;6,35;6,097536505;3,48442082;3,156413511
4;113,23;109,57;6,5;6,212980587;3,666881648;3,146065212
5;113,23;109,57;6,55;6,281301609;3,704017478;3,411828775
6;113,23;109,57;6,6;3,240281955;1,581234729;2,917146196
1;113,6;107,6;6,25;6,279184935;3,599479655;3,208253582
2;113,6;107,6;6,36;5,11746562;2,901408583;2,898856027
3;113,6;107,6;6,44;3,443880029;2,49000513;2,744567376
2;113,97;105,63;6,38;2,262745256;1,182101418;2,579164644
4;113,97;105,63;6,49;6,027199466;3,515628886;3,218382731
1;114,33;103,67;6,3;5,851457188;3,479317946;3,101211804
2;114,33;103,67;6,38;5,776314832;3,50474549;3,583973713
3;114,33;103,67;6,44;3,51225864;2,076625826;2,952920427
4;114,33;103,67;6,49;8,835550342;5,051782643;3,20201552
5;114,33;103,67;6,54;5,396117885;3,080286579;3,080281149
8;114,33;103,67;6,27;6,365810407;3,730885969;3,371097485
0;114,33;103,67;6,33;4,468406363;2,72842217;2,846525945
2;114,33;103,67;6,38;5,545049782;3,041393752;2,933803291
4;114,33;103,67;6,43;4,892173604;2,753240858;3,050154182
6;114,33;103,67;6,48;4,773898652;2,959278634;3,147446577
8;114,33;103,67;6,53;4,291173488;2,884636285;2,711710799
0;114,33;103,67;6,57;7,520191802;4,029048282;2,802759589
2;114,33;103,67;6,62;6,550670054;3,752932476;3,248935109
4;114,33;103,67;6,66;2,513450215;1,317984326;2,597185986
8;114,33;103,67;6,74;6,628753332;3,819106483;3,205489507
0;114,33;103,67;6,78;4,728318921;2,777358797;2,916375435
2;114,33;103,67;6,84;5,87811885;3,534331486;3,483348427
4;114,33;103,67;6,88;30,57669624;11,54548252;3,155123623
6;114,33;103,67;6,95;5,200677291;2,931120352;2,847295323
8;114,33;103,67;7,01;4,513361076;2,527323716;3,03974718
1;114,7;101,7;6,27;5,290961214;3,062725246;3,032672252
2;114,7;101,7;6,37;16,67117724;9,586772723;3,15435801
3;114,7;101,7;6,43;5,454717334;3,242121747;3,349772033
4;114,7;101,7;6,48;5,68584424;3,543367525;3,292188592
6;114,7;101,7;6,15;3,497641724;1,907302802;3,021967904
8;114,7;101,7;6,27;4,939723024;2,933811886;3,036509952
0;114,7;101,7;6,33;5,561483365;3,321735831;3,300965425
2;114,7;101,7;6,38;3,486198834;2,660512523;2,671999066
4;114,7;101,7;6,43;6,236310384;3,583088854;3,203765136
6;114,7;101,7;6,48;4,955271208;2,862805221;2,843803093
8;114,7;101,7;6,53;5,99468485;3,478803909;3,172663505
0;114,7;101,7;6,57;5,817890055;3,401515498;3,269164562
2;114,7;101,7;6,62;6,693015335;3,917075404;3,251790359
4;114,7;101,7;6,66;4,353582589;2,600612261;2,93723358
6;114,7;101,7;6,7;4,979916851;2,948585162;3,289985627
0;114,7;101,7;6,78;4,088956209;2,591032145;2,891542034
2;114,7;101,7;6,84;4,558769827;2,795873453;3,004746114
4;114,7;101,7;6,88;10,41188788;5,957334607;2,896482741
6;114,7;101,7;6,94;8,411652152;4,523651547;2,900954221
1;115,07;99,73;6,25;3,287386949;1,751050088;2,736826486
2;115,07;99,73;6,35;8,496387328;4,680127577;3,125754362
3;115,07;99,73;6,42;6,943423261;3,87547428;3,103789685
4;115,07;99,73;6,47;5,296096512;2,85436363;2,680742902
6;115,07;99,73;6,15;5,967716734;3,463676963;3,204005164
8;115,07;99,73;6,27;7,320698189;4,058092452;3,065852598
0;115,07;99,73;6,33;5,421987345;3,185874315;3,149741031
